"","DOMENICK.S.PIZZERIA","X1015.ALLERTON.AVENUE.BRONX.NY.10469","long","lat"
"532","D NAPOLI PIZZA","906 3 AVENUE,MANHATTAN NY,10022",-73.9689889,40.7588395
"533","D LOVE B","15828 CROSSBAY BLVD,QUEENS NY,11414",-73.8403584,40.659974
"534","D GLAMOUR NAIL SPA LOUNGE","2155 GRAND CONCOURSE,BRONX NY,10453",-73.9021365,40.8549227
"535","D ELICI","71 NASSAU ST,MANHATTAN NY,10038",-74.0083878,40.709695
"536","D AVENUE","673 FLATBUSH AVE,BROOKLYN NY,11225",-73.959819,40.656823
"537","D & Y RESTAURANT","5616 7TH AVE,BROOKLYN NY,11220",-74.009993,40.638865
"538","D & S RESTAURANT","419 E 98TH ST,BROOKLYN NY,11212",-73.9152177,40.6582727
"539","D & S MARKET PLACE","34 WEST   56 STREET,MANHATTAN NY,10019",-73.9762733,40.7628553
"540","D & S BAKERY","6302 NEW UTRECHT AVENUE,BROOKLYN NY,11219",-73.9975024,40.6252668
"541","D & R HEALTH & NUTRITION/ HERBALIFE","5514 ROOSEVELT AVENUE,QUEENS NY,11377",-73.908973,40.744836
"542","D & P RESTAURANT & COCKTAIL","3405 CHURCH AVENUE,BROOKLYN NY,11203",-73.9454662,40.6512128
"543","D & D COFFEE SHOP","4508 FORT HAMILTON PARKWAY,BROOKLYN NY,11219",-73.9952328,40.6402681
"544","D & B DOUBLE CHINESE RESTAURANT","74 WESTERVELT AVENUE,STATEN ISLAND NY,10301",-74.0861942,40.645795
"545","CYPRIANA","4702 37 STREET,QUEENS NY,11101",-73.9264455,40.7520728
"546","CYPRESS PIZZERIA & RESTAURANT","3326 FULTON ST,BROOKLYN NY,11208",-73.8728488,40.6832696
"547","CYPRESS INN CAFE","1702 STANHOPE STREET,QUEENS NY,11385",-73.9152346,40.7056189
"548","CYCLONE CAFE","1000 SURF AVE,BROOKLYN NY,11224",-73.9775337,40.5752378
"549","CYCLO","551 47 AVENUE,QUEENS NY,11101",-73.9534916,40.7456855
"550","CUZCO PERU BBQ CHICKEN","13813 QUEENS BLVD,QUEENS NY,11435",-73.8181728,40.708588
"551","CUZCO PERU","98102 QUEENS BOULEVARD,QUEENS NY,11374",-73.8549369,40.7270522
"552","CUTTING BOARD FLUSHING","3720 PRINCE ST,QUEENS NY,11354",-73.8330277,40.7601859
"553","CUTTING BOARD","53 Bayard St,MANHATTAN NY,10013",-73.9976892,40.7151793
"554","CUTEST COOKIES","30 GIFFORDS LANE,STATEN ISLAND NY,10308",-74.1507597,40.5517727
"555","CUSTOM WINEBAR","644 DRIGGS AVENUE,BROOKLYN NY,11211",-73.958815,40.715044
"556","Custom Fuel Pizza","2288 FREDERICK DOUGLASS BLVD,MANHATTAN NY,10027",-73.9521343,40.8088271
"557","CUSTOM BURGERS PAT LA FRIEDA","0 LAGUARDIA AIRPORT,QUEENS NY,11369",-73.8739659,40.7769271
"558","CUSTOM BURGERS","0 LAGUARDIA AIRPORT,QUEENS NY,11369",-73.8739659,40.7769271
"559","CUSP","321 7TH AVE,BROOKLYN NY,11215",-73.981205,40.6670633
"560","CURVES GENTLEMAN'S CLUB","2945 ARTHUR KILL ROAD,STATEN ISLAND NY,10309",-74.2295017,40.5469303
"561","CURRY YA","214 EAST   10 STREET,MANHATTAN NY,10003",-73.986028,40.7292
"562","CURRY SPOT","4268 KATONAH AVENUE,BRONX NY,10470",-73.8669144,40.8977597
"563","CURRY POINT","4102 GREENPOINT AVENUE,QUEENS NY,11104",-73.9238214,40.7399539
"564","CURRY LEAVES RESTAURANT","13531 40 ROAD,QUEENS NY,11354",-73.8305904,40.7588982
"565","CURRY KITCHEN","40 WEST    8 STREET,MANHATTAN NY,10011",-73.9984186,40.7329256
"566","CURRY KING","942 COLUMBUS AVENUE,MANHATTAN NY,10025",-73.9629725,40.7995632
"567","CURRY KABAB","2165 STARLING AVE,BRONX NY,10462",-73.8528959,40.8364976
"568","CURRY IN A HURRY","119 LEXINGTON AVENUE,MANHATTAN NY,10016",-73.982139,40.742638
"569","CURRY HUT","534 9 AVENUE,MANHATTAN NY,10018",-73.9934774,40.7567462
"570","CURRY HEIGHTS","151 REMSEN STREET,BROOKLYN NY,11201",-73.9922409,40.6936496
"571","CURRY GARDEN","787 PROSPECT PL,BROOKLYN NY,11216",-73.9505317,40.6744811
"572","CURRY EXPRESS","130 EAST   29 STREET,MANHATTAN NY,10016",-73.9817971,40.7430435
"573","CURRY DREAM","66 WEST   39 STREET,MANHATTAN NY,10018",-73.9852003,40.7526251
"574","CURRY & CO.","27119 UNION TPKE,QUEENS NY,11040",-73.7026299,40.7522879
"575","CURRENT","111A 11th AVENUE,MANHATTAN NY,10011",-74.010104,40.746668
"576","CURRANT CAFE","248 MCKIBBEN ST,BROOKLYN NY,11206",-73.9368527,40.7055823
"577","CUPS AND STRAWS","14301 45TH AVE,QUEENS NY,11355",-73.8183709,40.7538646
"578","CUPS AND CONES","11000 ROCKAWAY BOULEVARD,QUEENS NY,11420",-73.8032797,40.6745381
"579","CUPOLA SAMARKANDA","1797 MCDONALD AVENUE,BROOKLYN NY,11230",-73.9727521,40.60913
"580","CUPIDO'S RESTAURANT","609 SUTTER AVENUE,BROOKLYN NY,11207",-73.8965418,40.6693439
"581","CUPER","20 PEARL ST,BROOKLYN NY,11201",-73.9875162,40.70443
"582","CUPCAKE CAFE CASA","545 9 AVENUE,MANHATTAN NY,10018",-73.9937096,40.7574461
"583","CUP O YOGURT","8512 BAY PKWY,BROOKLYN NY,11214",-73.9937029,40.6024027
"584","CUP & SAUCER","89 CANAL STREET,MANHATTAN NY,10002",-73.9934861,40.7155204
"585","CUP","978 LORIMER STREET,BROOKLYN NY,11222",-73.952447,40.7253107
"586","CUP","221 MONTROSE AVENUE,BROOKLYN NY,11206",-73.94024,40.70781
"587","CUMIN INDIAN RESTAURANT","3549 JOHNSON AVENUE,BRONX NY,10463",-73.9099601,40.8865048
"588","CULTURE ESPRESSO","72 WEST   38 STREET,MANHATTAN NY,10018",-73.9857349,40.7520936
"589","CULTURE CLUB","20 WEST   39 STREET,MANHATTAN NY,10018",-73.9835417,40.7518649
"590","CULTURE 36","247 W 36TH ST,MANHATTAN NY,10018",-73.9912552,40.7531845
"591","CULTURA PIZZA E VITA","151 MOTT ST,MANHATTAN NY,10013",-73.9965396,40.7194535
"592","CULLEN'S TAVERN","4340 WHITE PLAINS ROAD,BRONX NY,10466",-73.8553121,40.8966486
"593","CUISINE BY CLAUDETTE","143 BEACH  116 STREET,QUEENS NY,11694",-73.8367629,40.5788635
"594","CUENCA COFFEE SHOP RESTAURANT","9529 JAMAICA AVENUE,QUEENS NY,11421",-73.8493574,40.6946695
"595","CUE TIME","319 CLAWSON STREET,STATEN ISLAND NY,10306",-74.111494,40.5716484
"596","CUE BAR","4518 BELL BOULEVARD,QUEENS NY,11361",-73.769412,40.75972
"597","CUCUMBER SUSHI & SALAD BAR","5834 AMBOY ROAD,STATEN ISLAND NY,10309",-74.2018774,40.525616
"598","CUCUMBER SUSHI & SALAD BAR","4215 HYLAN BLVD,STATEN ISLAND NY,10308",-74.1507841,40.5375164
"599","CUCINA VIVOLO","138140 EAST   74 STREET,MANHATTAN NY,10021",-73.9574128,40.7701235
"600","CUCINA MIA","1898 VICTORY BOULEVARD,STATEN ISLAND NY,10314",-74.127252,40.6125563
"601","CUCINA GOURMET","153 EAST   53 STREET,MANHATTAN NY,10022",-73.9698575,40.7583616
"602","CUCINA FRESCA","2110 RICHMOND ROAD,STATEN ISLAND NY,10306",-74.1114451,40.5813032
"603","CUCINA DI PESCE","87 EAST    4 STREET,MANHATTAN NY,10003",-73.9897648,40.7265055
"604","CUCINA BENE PIZZERIA","41 EXCHANGE PLACE,MANHATTAN NY,10005",-74.0100679,40.7062407
"605","CUCINA BENE PIZZERIA","1505 LEXINGTON AVE,MANHATTAN NY,10029",-73.9500894,40.7866094
"606","CUCINA AND CO.","600 5 AVENUE,MANHATTAN NY,10020",-73.9783141,40.7576057
"607","CUCINA & COMPANY","200 PARK AVENUE,MANHATTAN NY,10003",-73.9891634,40.7368837
"608","CUCHIFRITOS","158 E. 188 TH ST,BRONX NY,10468",-73.8982922,40.8615923
"609","CUCHIFRITO","168 EAST  116 STREET,MANHATTAN NY,10029",-73.9409898,40.7980513
"610","CUCCIOS BAKERY","320 AVENUE X,BROOKLYN NY,11223",-73.9712463,40.5902194
"611","CUBBYHOLE","281 WEST   12 STREET,MANHATTAN NY,10014",-74.0037709,40.7376794
"612","CUBANA SOCIAL","70 NORTH    6 STREET,BROOKLYN NY,11249",-73.9616106,40.7190421
"613","CUBANA CAFE","80 6 AVENUE,BROOKLYN NY,11217",-73.9750731,40.6800506
"614","CUBANA CAFE","272 SMITH STREET,BROOKLYN NY,11231",-73.993486,40.6826376
"615","CUBA","222 THOMPSON STREET,MANHATTAN NY,10012",-73.9988446,40.7290916
"616","CUATOMATE","3807 BROADWAY,QUEENS NY,11103",-73.919296,40.759365
"617","CRYSTAL'S RESTAURANT","9911 39TH AVE,QUEENS NY,11368",-73.8662839,40.74997
"618","CRYSTAL ROOM","67 OLYMPIA BOULEVARD,STATEN ISLAND NY,10305",-74.0706906,40.5931595
"619","CRYSTAL PALACE","13831 QUEENS BOULEVARD,QUEENS NY,11435",-73.8177712,40.7081277
"620","CRYSTAL MANOR","1460 FLATBUSH AVENUE,BROOKLYN NY,11210",-73.9503572,40.6350081
"621","CRYSTAL LOUNGE","2583 STEINWAY STREET,QUEENS NY,11103",-73.9130935,40.7658249
"622","CRYSTAL CURRY HOUSE","18809 JAMAICA AVENUE,QUEENS NY,11423",-73.7706414,40.7112171
"623","CRYSTAL","212 EAST   52 STREET,MANHATTAN NY,10022",-73.9692992,40.7565952
"624","CRUSTY & TASTY BAGEL","1323 2ND AVE,MANHATTAN NY,10021",-73.9597482,40.7674061
"625","CRUST","0 LA GUARDIA AIRPORT,QUEENS NY,11369",-73.8739659,40.7769271
"626","CRUST","000 LAGUARDIA AIRPORT,QUEENS NY,11371",-73.8739659,40.7769271
"627","CRUNCH PIT STOP","1109 2 AVENUE,MANHATTAN NY,10022",-73.9647447,40.76045
"628","CRUMBS BAKE SHOP","880 3RD AVE,MANHATTAN NY,10022",-73.9696273,40.7580347
"629","CRUMBS BAKE SHOP","40 BROAD ST,MANHATTAN NY,10004",-74.0117772,40.7060375
"630","CRUMBS BAKE SHOP","1385 BROADWAY,MANHATTAN NY,10018",-73.987863,40.7528622
"631","CRUMBS BAKE SHOP","1675 BROADWAY,MANHATTAN NY,10019",-73.9833622,40.7630636
"632","CRUMBS BAKE SHOP","775 COLUMBUS AVE,MANHATTAN NY,10025",-73.9664745,40.7938009
"633","CRUMBS BAKE SHOP","420 LEXINGTON AVE,MANHATTAN NY,10170",-73.9759022,40.7526842
"634","CRUMBS BAKE SHOP","2 PARK AVE,MANHATTAN NY,10016",-73.9825954,40.7463331
"635","CRUMBS BAKE SHOP","2655 RICHMOND AVE,STATEN ISLAND NY,10314",-74.1652624,40.5818776
"636","CRUMBS BAKE SHOP","124 UNIVERSITY PL,MANHATTAN NY,10003",-73.9922792,40.7348579
"637","CRUMBS BAKE SHOP","261 W 42ND ST,MANHATTAN NY,10036",-73.9893,40.7572681
"638","CRUMBS BAKE  SHOP","1418 LEXINGTON AVE,MANHATTAN NY,10128",-73.9525927,40.7838726
"639","CROXLEYS THE ABBEY","63 GRAND ST,BROOKLYN NY,11249",-73.964839,40.716096
"640","CROWNE PLAZA-TIMES SQUARE (BANQUET KITCHEN)","1605 BROADWAY,MANHATTAN NY,10019",-73.9848876,40.7603998
"641","Crowne Plaza-JFK Airport","13810 135TH AVE,QUEENS NY,11436",-73.7994425,40.6676621
"642","CROWN VICTORIA BAR","60 SOUTH    2 STREET,BROOKLYN NY,11249",-73.9656481,40.7142007
"643","CROWN PALACE RESTAURANT","235 NEW DORP LANE,STATEN ISLAND NY,10306",-74.114113,40.573079
"644","CROWN PALACE RESTAURANT","30 SNEDEN AVE,STATEN ISLAND NY,10312",-74.176167,40.5404089
"645","CROWN PALACE","1267 FOREST AVE,STATEN ISLAND NY,10302",-74.1317908,40.6267089
"646","CROWN HEIGHTS BUNCH-O-BAGELS AND MORE","361 TROY AVENUE,BROOKLYN NY,11213",-73.9367069,40.6660166
"647","CROWN GRILL FRIED CHICKEN & PIZZA","71-12 KISSENA BLVD,QUEENS NY,11367",-73.8152512,40.729281
"648","CROWN GRILL AND SALAD","802 GRAND ST,BROOKLYN NY,11211",-73.9412584,40.711692
"649","CROWN GRILL","1611 CORTELYOU RD,BROOKLYN NY,11226",-73.963167,40.641944
"650","CROWN GOURMET DELI","1674 BROADWAY,MANHATTAN NY,10019",-73.982872,40.7628094
"651","CROWN FRIED CHICKEN PIZZA & COFFEE SHOP","308 TOMPKINS AVE,BROOKLYN NY,11216",-73.9449659,40.687317
"652","CROWN FRIED CHICKEN AND PIZZA","228 ALBANY AVE,BROOKLYN NY,11213",-73.9393181,40.6726159
"653","CROWN FRIED CHICKEN & PIZZA","580 ALBANY AVENUE,BROOKLYN NY,11203",-73.9400935,40.6604366
"654","CROWN FRIED CHICKEN","2333 1ST  AVE,MANHATTAN NY,10035",-73.9339198,40.7984572
"655","CROWN FRIED CHICKEN","2459 8TH AVE,MANHATTAN NY,10027",-73.9483127,40.8145495
"656","CROWN FRIED CHICKEN","2021 AMSTERDAM AVENUE,MANHATTAN NY,10032",-73.9403643,40.8348177
"657","CROWN FRIED CHICKEN","117 AVENUE D,MANHATTAN NY,10009",-73.9761377,40.7238559
"658","CROWN FRIED CHICKEN","233 BEACH 20TH ST,QUEENS NY,11691",-73.7544676,40.5964197
"659","CROWN FRIED CHICKEN","2475 BOSTON RD,BRONX NY,10467",-73.86612,40.862948
"660","CROWN FRIED CHICKEN","1591 BROADWAY,BROOKLYN NY,11207",-73.9149587,40.6856989
"661","CROWN FRIED CHICKEN","3351 BROADWAY,MANHATTAN NY,10031",-73.955151,40.820755
"662","CROWN FRIED CHICKEN","3633 BROADWAY,MANHATTAN NY,10031",-73.9485772,40.8294816
"663","CROWN FRIED CHICKEN","766 CASTLE HILL AVE,BRONX NY,10473",-73.8485762,40.8226926
"664","CROWN FRIED CHICKEN","332 CENTRAL AVE,BROOKLYN NY,11221",-73.9204768,40.695212
"665","CROWN FRIED CHICKEN","3402 CHURCH AVE,BROOKLYN NY,11203",-73.9453556,40.6507762
"666","CROWN FRIED CHICKEN","1109 CLARKSON AVE,BROOKLYN NY,11212",-73.92165,40.66041
"667","CROWN FRIED CHICKEN","504 CLARKSON AVENUE,BROOKLYN NY,11203",-73.9427407,40.6556681
"668","CROWN FRIED CHICKEN","640 CONDUIT BLVD,BROOKLYN NY,11208",-73.8661519,40.6757084
"669","CROWN FRIED CHICKEN","433 DEKALB AVE,BROOKLYN NY,11205",-73.960064,40.690595
"670","CROWN FRIED CHICKEN","200 DYCKMAN ST,MANHATTAN NY,10040",-73.927178,40.8648327
"671","CROWN FRIED CHICKEN","190 E 98TH ST,BROOKLYN NY,11212",-73.9208984,40.6627457
"672","CROWN FRIED CHICKEN","1304 E GUN HILL RD,BRONX NY,10469",-73.8485133,40.8714543
"673","CROWN FRIED CHICKEN","1076 EAST  165 STREET,BRONX NY,10459",-73.8908153,40.8248597
"674","CROWN FRIED CHICKEN","1572 EAST  174 STREET,BRONX NY,10472",-73.8781388,40.83385
"675","CROWN FRIED CHICKEN","343 EAST  194 STREET,BRONX NY,10458",-73.8911706,40.8641463
"676","CROWN FRIED CHICKEN","2214 FULTON ST,BROOKLYN NY,11233",-73.9076778,40.6779837
"677","CROWN FRIED CHICKEN","3149 FULTON ST,BROOKLYN NY,11208",-73.8787486,40.68197
"678","CROWN FRIED CHICKEN","963 FULTON ST,BROOKLYN NY,11238",-73.9644553,40.683081
"679","CROWN FRIED CHICKEN","1147 FULTON STREET,BROOKLYN NY,11238",-73.9558917,40.6813788
"680","CROWN FRIED CHICKEN","1519 FULTON STREET,BROOKLYN NY,11216",-73.9406116,40.6801312
"681","CROWN FRIED CHICKEN","10309 GLENWOOD RD,BROOKLYN NY,11236",-73.8976831,40.648391
"682","CROWN FRIED CHICKEN","9240C GUY BREWER BLVD,QUEENS NY,11433",-73.7879768,40.6920882
"683","CROWN FRIED CHICKEN","9240 GUY BREWER BOULEVARD,QUEENS NY,11433",-73.7964782,40.7034569
"684","CROWN FRIED CHICKEN","145-72 GUY R BREWER BOULEVARD,QUEENS NY,11434",-73.7688339,40.6640804
"685","CROWN FRIED CHICKEN","16829 HILLSIDE AVENUE,QUEENS NY,11432",-73.7900153,40.7118549
"686","CROWN FRIED CHICKEN","17002 HILLSIDE AVENUE,QUEENS NY,11432",-73.7900178,40.7118541
"687","CROWN FRIED CHICKEN","18226 HILLSIDE AVENUE,QUEENS NY,11432",-73.7795649,40.7134136
"688","CROWN FRIED CHICKEN","20420 HILLSIDE AVENUE,QUEENS NY,11423",-73.7602687,40.7203827
"689","CROWN FRIED CHICKEN","13518 JAMAICA AVE,QUEENS NY,11418",-73.8169994,40.7022562
"690","CROWN FRIED CHICKEN","7438 JAMAICA AVE,QUEENS NY,11421",-73.8514745,40.6939296
"691","CROWN FRIED CHICKEN","18803 JAMAICA AVENUE,QUEENS NY,11423",-73.7707694,40.7111927
"692","CROWN FRIED CHICKEN","116 KINGSTON AVE,BROOKLYN NY,11213",-73.9418477,40.6758369
"693","CROWN FRIED CHICKEN","1867 LEXINGTON AVENUE,MANHATTAN NY,10029",-73.9416842,40.7982574
"694","CROWN FRIED CHICKEN","18903 LINDEN BOULEVARD,QUEENS NY,11412",-73.7467348,40.6959857
"695","CROWN FRIED CHICKEN","2106 LINDEN BOULEVARD,BROOKLYN NY,11207",-73.8848608,40.6607032
"696","CROWN FRIED CHICKEN","923 LIVONIA AVE,BROOKLYN NY,11207",-73.8828689,40.6664318
"697","CROWN FRIED CHICKEN","83 LIVONIA AVENUE,BROOKLYN NY,11212",-73.9150281,40.6617767
"698","CROWN FRIED CHICKEN","17 MACDOUGAL ST,BROOKLYN NY,11233",-73.9216929,40.6792662
"699","CROWN FRIED CHICKEN","17 MACDOUGAL STREET,BROOKLYN NY,11233",-73.9216929,40.6792662
"700","CROWN FRIED CHICKEN","229 MALCOLM X BLVD,BROOKLYN NY,11221",-73.9292865,40.6851048
"701","CROWN FRIED CHICKEN","229 MALCOLM X BOULEVARD,BROOKLYN NY,11221",-73.9292865,40.6851048
"702","CROWN FRIED CHICKEN","167 MARCUS GARVEY BLVD,BROOKLYN NY,11221",-73.9397675,40.692488
"703","CROWN FRIED CHICKEN","2801 MERMAID AVENUE,BROOKLYN NY,11224",-73.994469,40.57579
"704","CROWN FRIED CHICKEN","22907 MERRICK BOULEVARD,QUEENS NY,11413",-73.7410809,40.6763903
"705","CROWN FRIED CHICKEN","399 MOTHER GASTON BLVD,BROOKLYN NY,11212",-73.906438,40.669367
"706","CROWN FRIED CHICKEN","822 MYRTLE AVE,BROOKLYN NY,11206",-73.949417,40.695144
"707","CROWN FRIED CHICKEN","339 MYRTLE AVENUE,BROOKLYN NY,11205",-73.9726723,40.6934359
"708","CROWN FRIED CHICKEN","972 MYRTLE AVENUE,BROOKLYN NY,11206",-73.942544,40.695896
"709","CROWN FRIED CHICKEN","417 NEW LOTS AVE,BROOKLYN NY,11207",-73.8923049,40.6624299
"710","CROWN FRIED CHICKEN","44B NEW LOTS AVE,BROOKLYN NY,11212",-73.9034588,40.6570444
"711","CROWN FRIED CHICKEN","790 NEW LOTS AVE,BROOKLYN NY,11208",-73.881302,40.6667178
"712","CROWN FRIED CHICKEN","1604 NEWKIRK AVE,BROOKLYN NY,11226",-73.9622142,40.6358531
"713","CROWN FRIED CHICKEN","818 NORSTAND AVE,BROOKLYN NY,11216",-73.9506684,40.6705432
"714","CROWN FRIED CHICKEN","1263 NOSTRAND AVE,BROOKLYN NY,11226",-73.949949,40.6561707
"715","CROWN FRIED CHICKEN","642 NOSTRAND AVENUE,BROOKLYN NY,11216",-73.9501116,40.676435
"716","CROWN FRIED CHICKEN","848 NOSTRAND AVENUE,BROOKLYN NY,11225",-73.9507181,40.6691162
"717","CROWN FRIED CHICKEN","8792 PARSONS BLVD,QUEENS NY,11432",-73.8000387,40.7028988
"718","CROWN FRIED CHICKEN","941 PENNSYLVANIA AVE,BROOKLYN NY,11207",-73.8879209,40.655124
"719","CROWN FRIED CHICKEN","2176 PITKIN AVE,BROOKLYN NY,11207",-73.8922295,40.6722402
"720","CROWN FRIED CHICKEN","1476 PITKIN AVENUE,BROOKLYN NY,11212",-73.9192448,40.6682197
"721","CROWN FRIED CHICKEN","1719 PITKIN AVENUE,BROOKLYN NY,11212",-73.9096589,40.6700677
"722","CROWN FRIED CHICKEN","101 RALPH AVE,BROOKLYN NY,11221",-73.9232192,40.6866537
"723","CROWN FRIED CHICKEN","235 RALPH AVE,BROOKLYN NY,11233",-73.9221856,40.6815397
"724","CROWN FRIED CHICKEN","431 RALPH AVENUE,BROOKLYN NY,11233",-73.921791,40.674391
"725","CROWN FRIED CHICKEN","642 ROCKAWAY AVENUE,BROOKLYN NY,11212",-73.9094531,40.6642575
"726","CROWN FRIED CHICKEN","13105 ROCKAWAY BLVD,QUEENS NY,11420",-73.8032156,40.674533
"727","CROWN FRIED CHICKEN","14620 ROCKAWAY BLVD,QUEENS NY,11436",-73.7909281,40.6732013
"728","CROWN FRIED CHICKEN","13105 ROCKAWAY BOULEVARD,QUEENS NY,11420",-73.8032156,40.674533
"729","CROWN FRIED CHICKEN","1090 RUTLAND ROAD,BROOKLYN NY,11212",-73.9238172,40.6643115
"730","CROWN FRIED CHICKEN","1643 SAINT JOHNS PL,BROOKLYN NY,11233",-73.9227484,40.6703713
"731","CROWN FRIED CHICKEN","701 SENECA AVE,QUEENS NY,11385",-73.9074253,40.7028493
"732","CROWN FRIED CHICKEN","5 SOMERS STREET,BROOKLYN NY,11233",-73.9132845,40.6786799
"733","CROWN FRIED CHICKEN","10302 SPRINGFIELD BOULEVARD,QUEENS NY,11429",-73.736109,40.7131811
"734","CROWN FRIED CHICKEN","801 STANLEY AVENUE,BROOKLYN NY,11207",-73.8795526,40.6614344
"735","CROWN FRIED CHICKEN","9085 SUTPHIN BLVD,QUEENS NY,11435",-73.802503,40.6948276
"736","CROWN FRIED CHICKEN","11317 SUTPHIN BOULEVARD,QUEENS NY,11435",-73.793775,40.686548
"737","CROWN FRIED CHICKEN","577 SUTTER AVE,BROOKLYN NY,11207",-73.8976717,40.6691783
"738","CROWN FRIED CHICKEN","1181 SUTTER AVENUE,BROOKLYN NY,11208",-73.8743494,40.6726283
"739","CROWN FRIED CHICKEN","456 SUTTER AVENUE,BROOKLYN NY,11212",-73.9021376,40.6680897
"740","CROWN FRIED CHICKEN","6 SUTTER AVENUE,BROOKLYN NY,11212",-73.9226391,40.6650992
"741","CROWN FRIED CHICKEN","92 TOMPKINS AVE,BROOKLYN NY,11206",-73.946679,40.6961855
"742","CROWN FRIED CHICKEN","1459 UNIONPORT ROAD,BRONX NY,10462",-73.8557138,40.8354831
"743","CROWN FRIED CHICKEN","148 UTICA AVE,BROOKLYN NY,11213",-73.930959,40.673851
"744","CROWN FRIED CHICKEN","226 UTICA AVENUE,BROOKLYN NY,11213",-73.9311216,40.6710364
"745","CROWN FRIED CHICKEN","793 UTICA AVENUE,BROOKLYN NY,11203",-73.9304147,40.6540668
"746","CROWN DINER","79 EAST  161 STREET,BRONX NY,10451",-73.924914,40.827846
"747","CROWN CHICKEN & BISCUIT","152 ROCKAWAY AVE,BROOKLYN NY,11233",-73.9109353,40.6779963
"748","CROWN CHICKEN","1240 HANCOCK ST,BROOKLYN NY,11221",-73.9107473,40.6923659
"749","CROTON RESERVOIR TAVERN","108110 WEST   40 STREET,MANHATTAN NY,10018",-73.9917143,40.7563649
"750","CROSSTOWN DINER","2880 BRUCKNER BOULEVARD,BRONX NY,10465",-73.8285919,40.8325249
"751","CROSSROADS CAFE","261 JORALEMON STREET,BROOKLYN NY,11201",-73.9891248,40.6921925
"752","CROSSROADS (MARRIOTT MARQUIS)","1535 BROADWAY,MANHATTAN NY,10036",-73.9862475,40.7586115
"753","CROSSBAY DINER","16031 CROSSBAY BOULEVARD,QUEENS NY,11414",-73.8388249,40.6565953
"754","CROSSBAY DELI & GRILL","10510 CROSSBAY BLVD,QUEENS NY,11417",-73.8449827,40.6798747
"755","CROSS CULTURE KITCHEN","62 EAST 116TH ST,MANHATTAN NY,10029",-73.9441583,40.7996888
"756","CROSS BRONX PIZZERIA","1105 CASTLE HILL AVE,BRONX NY,10472",-73.8505963,40.8299644
"757","CROSBY PIZZA STOP","1731 CROSBY AVENUE,BRONX NY,10461",-73.8319301,40.8461199
"758","CROQUE MADAME","0 JFK INTERNATIONAL AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
"759","CROQUE","459 LEXINGTON AVE,MANHATTAN NY,10017",-73.9743598,40.7534048
"760","CROPSEY PIZZA","2811 CROPSEY AVENUE,BROOKLYN NY,11214",-73.9878364,40.5863262
"761","CROP TO CUP COFFEE COMPANY","541 3 AVENUE,BROOKLYN NY,11215",-73.9931464,40.6685359
"762","CRONIN & PHELAN PUB & RESTAURANT","3814 BROADWAY,QUEENS NY,11103",-73.9193831,40.7589674
"763","CROMPTON ALE HOUSE","159 W 26TH ST,MANHATTAN NY,10001",-73.9933768,40.7458602
"764","CROISSANTERIA","68 AVENUE A,MANHATTAN NY,10009",-73.9844411,40.724624
"765","CROCUS","328 TOMPKINS AVE,BROOKLYN NY,11216",-73.9447686,40.6864734
"766","CROCODILE LOUNGE","325 EAST   14 STREET,MANHATTAN NY,10003",-73.983729,40.732073
"767","CRISTINA DELI","1237 150TH ST,QUEENS NY,11357",-73.8133005,40.7876308
"768","CRISTINA AND RACHEL RESTAURANT","179 AUDUBON AVENUE,MANHATTAN NY,10033",-73.9356201,40.8440057
"769","CRISPY RESTAURANT","678 SENECA AVENUE,QUEENS NY,11385",-73.9083343,40.7029951
"770","CRISPY PIZZA","782 RICHMOND TERRACE,STATEN ISLAND NY,10301",-74.0982698,40.6444845
"771","CRISPY CHICKEN RESTAURANT","21552 JAMAICA AVE,QUEENS NY,11428",-73.738675,40.71726
"772","CRISPY & TASTY","8769 PARSONS BLVD,QUEENS NY,11432",-73.8000386,40.7028985
"773","CRISPO","240 WEST   14 STREET,MANHATTAN NY,10011",-74.001806,40.7391368
"774","CRISPIN'S HELL'S KITCHEN","764 10 AVENUE,MANHATTAN NY,10019",-73.9906975,40.7657338
"775","CRISP","3004 AVE L,BROOKLYN NY,11210",-73.9457603,40.6218387
"776","CRISP","110 WEST   40 STREET,MANHATTAN NY,10018",-73.9859663,40.7536976
"777","CRIMSON & RYE","198 E 54TH ST,MANHATTAN NY,10022",-73.9687428,40.7580868
"778","CRIMINAL COURT BLDG CAFETERIA","100 CENTRE STREET,MANHATTAN NY,10013",-74.0010484,40.71599
"779","CRIME SCENE","310 BOWERY,MANHATTAN NY,10012",-73.9927739,40.7250101
"780","CRIF DOGS / PLEASE DON'T TELL","113 ST  MARKS'S PLACE,MANHATTAN NY,10003",-73.9837352,40.7271072
"781","CRIF DOGS","555 DRIGGS AVENUE,BROOKLYN NY,11211",-73.956425,40.7168674
"782","CRESCENT GRILL","3840 CRESCENT ST,QUEENS NY,11101",-73.9369443,40.7549728
"783","CRESCENT COFFEE SHOP","3325 FULTON STREET,BROOKLYN NY,11208",-73.8729133,40.6836292
"784","CRESCENT & VINE","2503 DITMARS BOULEVARD,QUEENS NY,11105",-73.9141274,40.7787669
"785","CREPETERIA","614 MANHATTAN AVE,BROOKLYN NY,11222",-73.9504264,40.7234757
