"","name","artist","from_date","to_date","location","description","borough","show_large_image","lat","lng","active"
"22","Whattoseesottahw","Eirini Linardaki","2015-08-15","2016-04-30","character(0)","<p>Eirini  Linardaki’s public art installation <em>Whattoseesottahw </em>is inspired by children’s drawings created during artist-led workshops in  the park. Her work often concentrates on creating beautiful, unexpected moments  within urban and abandoned spaces. As a resident of the East Village, she  continues this exploration inher  installation <em>Whattoseesottahw</em>, where  sheembraces the often ambiguous  nature of children’s drawings. In her workshops, children and families visiting  Tompkins Square were encouraged to create images of familiar wildlife that they  encountered in the park. These drawings and paintings may appear indecipherable  at a first glance, similar to a Rorschach test; however, when children are  asked to elaborate they create joyful stories about the natural elements they  observed. </p>
<p>Several  of these drawings were collected and combined to create images that were  transferred onto wood panels. The images were then either cut out of the panel,  revealing glances of the park, or partially removed with half of the drawing  still visible. Some of the cutouts were painted with chalk paint so kids can  complete the drawing. The panels, located in the Slocum Memorial Fountain  Plaza, are low on the fence in order to maintain a relationship with children’s  eye level. Linardaki will periodically conduct workshops throughout the  exhibition in the sitting area behind the park house.  </p>
<p>All of  the paintings that inspire the installation will be uploaded to her <a href=""http://linardakiparisot.wix.com/linardaki-parisot"">website</a>. </p>","M","1","40.72636","-73.981917","1"
"23","Above the Line","Kerry James Marshall","2015-06-01","2016-05-31","character(0)","<p>Through compelling portraiture and  both intimate and disquieting scenes of domestic life, Kerry James Marshall  comments on contemporary and art historical depictions of black identity. Born  in Birmingham, Alabama, raised in South Central Los Angeles in the 1970s, and  currently based in Chicago, Marshall is acutely sensitive to his own social  responsibility as an artist. The artist plunges his work into an exploration of  race-consciousness, painting “unequivocally, emphatically black figures,”  through whose depiction he articulates his intention to “reclaim the image of  blackness as an emblem of power.” Marshall has been commissioned to complete  numerous permanent public works at locations including the Legler Branch  Library in Chicago, The Print Center in Philadelphia, and the San Francisco  Museum of Modern Art’s Haas Atrium.</p>
<p>For the High Line, Marshall presents  a large-scale, hand-painted mural adapted specifically for the High Line.  Titled <em>Above the Line</em>, the mural is an extension of the artist’s <em>Dailies</em> series, specifically the cartoon strip “Rhythm Mastr,” an epic narrative of the  struggle between tradition and modernity within the Afro-diasporic worldview.  The works address the lack of black superheroes found in American comics, and  raise historical and philosophical questions in black vernacular English. This  particular comic painting, <em>Above the Line</em>, imagines the redevelopment of  rooftop water tanks as luxury homes and condominiums.</p>
<p>This  exhibition is presented by <a href=""http://art.thehighline.org/project/kerryjamesmarshall/"">Friends of the  High Line</a></p>","M","1","40.747339","-74.005162","1"
"24","Untitled Benches, Patios, Planters in Arrangement (Parklet for Ennis Playground)","Michael Clyde Johnson","2015-08-31","2016-08-30","character(0)","<p>As a parklet within a park, the goal of <em>Untitled Benches, Patios, Planters in Arrangement (Parklet for Ennis  Playground) </em>is to provide additional public amenities to Ennis Playground,  and by extension to the wider Gowanus neighborhood. These amenities are  multi-faceted: the project includes three modular components – patios, benches,  and planters – which, when combined, serve to create additional distinct lounge  and play areas within the park. By extending the idea of a parklet – generally  conceived as an extension of sidewalk space into the street to provide  additional seating and green space – to encompass the extension of these same  functions within an existing public space, <em>Parklet  for Ennis Playground</em> serves to augment existing facilities.</p>
<p>This project was made possible with funding from Councilmember Brad  Lander, in partnership with <a href=""http://artsgowanus.org/"">Arts Gowanus</a> and the <a href=""http://theoldstonehouse.org/"">Old Stone House & Washington  Park</a></p>","B","1","40.670751","-73.993813","1"
"25","Against the Run","Alicja Kwade","2015-09-10","2016-02-22","Doris C. Freedman Plaza","<p>Nature provided us with a general  way to measure time: dividing it into days, lunar months, and seasons. Since  ancient times, however, we have invented ways of measuring time in smaller  units with ever–increasing precision — from the sundial to the hourglass to the  atomic clock. As clock making technology advanced during the Renaissance,  handsome public clocks became a source of civic pride, as well as a useful  amenity. In today’s digital age, they more often evoke a sense of nostalgia for  another era.</p>
<p> In <em>Against the Run</em>, Alicja Kwade (b. 1979, Katowice, Poland) has created  a clock that tells the correct time, but does so in a way that confounds expectations.  Adapting a nineteenth–century design that we might typically see in New York  City, the artist has reversed the conventional mechanism. The face of the clock  rotates backwards while the second hand appears to stand still, pointing  vertically at all times. Our understanding of how a clock should run is second  nature, making this variation almost impossible to read, even as it continues  to tell the right time. Kwade’s whimsical clock captures her interest in the  systems we invent to make sense of our lives and the world. In doing so, it  prompts us to see “reality” from a new perspective. </p>
<p> This exhibition is presented by <a href=""http://www.publicartfund.org/view/exhibitions/6086_alicja_kwade_against_the_run"">Public  Art Fund</a>. </p>","M","1","40.765082","-73.972805","1"
"26","THE MOMENT","Various Artists","2015-09-27","2016-02-29","character(0)","<p>To draw a Contemporary Art forum is to separate from both modern and historical perspectives, to immerse oneself in current time and space. A meeting point in the processing time from past and to the future. We might call it the “moment;” it is short and creative. It entails catching an idea when it appears like a flash of light. It can — and must — disappear in the next femtosecond. A “moment” can mean a minute portion of time, or the product of quantity (as a force) and the distance to a particular point. THE MOMENT in contemporary art can be ideally a philosophical term and scientific necessity.</p>
<p>In 2015, the Taiwanese American Arts Council takes THE MOMENT as a theme, and develops it to a series of multi–disciplinary programs taking place in various venues. The traditional format of painting shares space with the latest interactive technology. These are threads expressing multiple directions, meeting in this MOMENT. The MOMENT investigates the play of the virtual and the real, inward and outward, our intimate reflection on a surface, dark and light, or a view of self in the outside environment. The Moment visualizes a picture, an object, a location, a person, or a fanciful collective memory of how we evolved as creatures. We are about to investigates the artist’s relation to society and himself.</p>
<p>Artists on view in Flushing Meadows Corona Park as part of THE MOMENT include Ya-Hon Chang, Tang-Wei Hsu, Kuang-Yu Lee, Wen-Fu Yu. </p>
<p>This exhibition is presented by the <a href=""http://www.mocataipei.org.tw/"">Museum of Contemporary Art, Taipei</a> and the <a href=""http://themoment.taac.gallery/"">Taiwanese American Arts Council</a></p>","Q","1","40.746612","-73.845092","1"
"27","My Circle","Beverly Pepper","2015-10-23","2016-05-31","character(0)","<p>In special recognition of Beverly Pepper’s 93rd birthday, the  monumental sculpture <em>My Circle, 2008</em> is on view in Union Square. The sculpture continues the artist’s contemplation  of time, materiality and place, and is part of <em>Curvae</em>, her series of curved forms. By using Cor–Ten steel, a  corrosion–resistant material that naturally and quickly develops a  weathered–looking patina, Pepper is able to speed up the oxidation process, and  in so doing suggest the concept of elapsed time through the sculpture’s skin of  rust.</p>
<p>Like many of her monumental works, <em>My  Circle</em> engages the viewer through the interplay of convex and concave  forms. The use of opposing forces – vertical and horizontal, interior and  exterior – creates a lyrical meditation of space that is at once dominant and  intimate. The artist has stated that “Seeing, touching, and the physical  sensory engagement is the way into my sculpture; my intention is that the  meaning of my work rests in experiencing it, similar to the performing arts  where listening and seeing the moments of a performance where meaning is  revealed through experience.” She notes that <em>My Circle</em>, standing at fourteen feet tall in Cor–Ten steel, for her  recalls an image from years ago relating to the symbolic character in Zen  Buddhism where it is known as the Enso, a drawing in ink of an open or closed  circle. The closed circle represents the totality of experience and life. The  open circle represents the imperfection found in all things, and is known as  the circle of enlightenment, its symbolism referring to the beginning and end  of all things, the circle of life, and the connectedness of existence. What  Pepper is drawn to within this narrative is the notion of the “connectedness of  existence” and how we can connect people and populations through art.</p>
<p>This exhibition is presented by <a href=""http://www.marlboroughgallery.com/"">Marlborough Gallery</a> and the <a href=""http://www.unionsquarenyc.org/"">Union Square Partnership</a>. </p>","M","1","40.735899","-73.99042","1"
"28","Shadow Migration","Wendy Klemperer","2015-11-07","2016-11-07","character(0)","<p>Shadow Migration exhibits animal silhouettes cut from steel plates and installed throughout the park. Klemperer investigates animal populations that were threatened in the 20th century, but are now rebounding and showing up in “our backyard.” Wild animals are finding their way into suburban and urban environments as human populations sprawl into their natural habitats. While many species have been devastated, some are adapting and thriving on the largesse of urban life. Hawks dive from high rise cornices to feast on the rich urban population of pigeons and rats; bears walk through New Jersey neighborhoods; and just several blocks from Court Square Park, a coyote found its way to a rooftop in Long Island City.  </p>
<p> Klemperer’s animal silhouettes are steel forms, punctuated with cutouts in the shape of countries from around the world. Each animal is a melting pot, bearing countries on its body that are also represented in Queens’ population—the most diverse community in the world. </p>
<p> This exhibition was made possible by the <a href=""/art-and-antiquities/clare-weiss-award"">Clare Weiss Emerging Artist Award</a>. </p>","Q","1","40.746383","-73.943437","1"
"29","Signpost (2007-2015)","Stuart Ringholt","2015-11-10","2016-05-03","character(0)","<p>In conjunction with his exhibition <em>nudes, signs, and a contract </em>at OSMOS Address, Stuart Ringholt, Ringholt installed an accompanying large-scale sculpture entitled <em>Signpost (2007-2015)</em> in nearby in First Park. Using the standard materials for a street sign, the artist facilitates an unexpected encounter with the range of emotions named on arrows pointing in different directions. </p>
<p> This exhibition is presented by Milani Gallery, Brisbane, OSMOS Address and <a href=""http://firststreetgreenpark.org/"">First Street Green</a>.</p>","M","1","40.723334","-73.989022","1"
"30","The Dance","DB Lampman","2015-11-09","2016-11-09","character(0)","<p><em>The Dance</em> consists of five figures floating 15 feet above the ground. The figures, formed with steel and wrapped in nylon, hold hands and dance whimsically within a rectangular steel structure.  At night the figures light up and cast a glow around the neighboring trees. <em>The Dance</em> is inspired by Henri Matisse’s painting by the same name. Similar interlocked figures can be found throughout art history, including Mayan art, African tribal sculptures, and ancient Mesopotamia, among others, to symbolize family, community, and spiritual or universal connectivity. Lampman uses this symbol for the coming together of the Staten Island community.</p>
<p>Lampman lives and works in Staten Island and has embraced the diverse community made up of residents from around the world. In the exhibition, the five figures are entwined in a dance—they could be Flamenco dancers from Mexico, Kandyan dancers from Sri Lanka, or  a dance from West Africa such as the Yankadi, or the Makru. </p>
<p>Many Staten Island neighborhoods were flooded during Hurricane Sandy, and sadly lives and homes were lost in the storm.  However, Staten Island came together during this crisis—strangers dropped everything and join people from around the island and all over the world to rebuild the community.  The neighborhoods’ joint effort is an integral part of the inspiration for Lampman’s public artwork.  Additionally, Lampman hopes that the installation will inspire additional community development, as the informal pavilion can be used for public dance and music performances by community members. </p>","R","1","40.499764","-74.251476","1"
"31","EAF15: 2015 Emerging Artist Fellowship Exhibition","Various Artists","2015-09-27","2016-03-13","character(0)","<p>Fifteen years ago Socrates Sculpture Park inaugurated the Emerging Artist Fellowship (EAF) Exhibition and launched what would become an annual exhibition of “artists to watch.” By providing an open studio along with financial, administrative, and technical support, the EAF program offers a rare opportunity for the realization of original, large–scale complex work. From May through September EAF artists work on–site, negotiating the physical and conceptual challenges of production in the park’s outdoor studio space, becoming energetic fuel for the park’s popular summer programming.</p>
<p>This year’s Emerging Artist Fellows were selected through a highly competitive process that attracted over 350 applications, a record number for the program, by the park’s 2015 Curatorial Advisors, Gary Carrion–Murayari (Curator, New Museum) and Nora Lawrence (Curator, Storm King Art Center). The 2015 Emerging Artist Fellows are: Kenseth Armstead, Charlotte Becket & Roger Sayre, JosÉ Carlos Casado, Torkwase Dyson, Carla Edwards, Davey Hawkins, Lena Henke, David Horvitz, Charlotte Hyzy, Melanie McLain, Kirsten Nelson, Freya Powell, Leah Raintree, Aaron Suggs, and Noa Younse.</p>
<p>This exhibition is presented by <a href=""http://socratessculpturepark.org/exhibition/eaf15/"">Socrates Sculpture Park</a>.</p>","Q","1","40.76844","-73.936467","1"
"32","El Primero Desfile de San Patricio en la Habana, Cuba","Duke Riley","2015-09-27","2016-03-13","character(0)","<p>Socrates’ latest “Broadway Billboard” is by artist Duke  Riley and is titled El Primero Desfile de San Patricio en la Habana, Cuba, or,  The First St. Patrick’s Day Parade in Havana, Cuba.</p>
<p>  St. Patrick’s Day marks the celebration of the life of the  patron saint of Ireland and is observed by people of Irish descent around the  world. But, as Riley states, “the tradition of the St. Patrick’s Day Parade is  entirely American.” The first parade in honor of St. Patrick’s Day was  organized by Irishmen serving in the British army stationed in Boston,  Massachusetts in 1737. It began as nothing more than drunken revelry, singing,  and a shared sense of homesickness. 200 years later the tradition was adopted  in Ireland and today there are St. Patrick’s Day parades in 15 nations across  six continents.</p>
<p>  During a 2007 visit to Havana, Riley discovered that his  Irish roots had Cuban connections. In fact, one of of the city’s main streets  is called Calle O’Reilly, named for Alejandro O’Reilly, an Irishman and early  abolitionist who served as a general in the Spanish army in 18th–century Cuba  and later served as governor of Spanish–occupied Louisiana. Like O’Reilly, many  Irish settled in Cuba in the 18th and 19th centuries, leaving a legacy of  prominent historical figures of Irish–Cuban descent and there are still a great  number of current day Cuban residents with Irish heritage.</p>
<p>  With this history in mind, Duke Riley returned to Cuba in  2009 to stage the first St. Patrick’s Day Parade in Havana, a performance for  ‘Chelsea Visits Havana’ at Museum Nacional de Bellas Artes as part of the  Havana Biennial. The Broadway Billboard on view at Socrates Sculpture Park  consists of a section of a larger drawing the artist did as a record of his  2009 performance, along with representations of iconic American cartoon  characters marching through the streets of Havana.</p>
<p>  Like the first parades in America, Riley’s St. Patrick’s Day  performance reminded participants of the positive potentials of social  inclusion and cultural exchange from the earliest parades and commemorations.  Riley’s 2009 parade displayed a romanticized vision of a distant land –  Ireland, Cuba, and America – separated by the sea. With today’s warming of  relations between historically cool American and Cuban governments, El Primero  Desfile de San Patricio en la Habana, Cuba presciently experiments with the  merging of the two cultures.</p>
<p>This exhibition is presented by <a href=""http://socratessculpturepark.org/exhibition/broadway–billboard–duke–riley/"">Socrates  Sculpture Park</a></p>","Q","1","40.76844","-73.936467","1"
"33","OY/YO","Deborah Kass","2015-11-11","2016-08-31","character(0)","<p>Walking the line between respectful homage and brazen appropriation, Brooklyn-based artist Deborah Kass mimics and reworks the signature styles of iconic 20th century male artists —including Frank Stella, Andy Warhol, Jackson Pollock, Ed Ruscha, and Robert Indiana – often with a feminist twist. OY/YO is sourced from urban and Brooklyn slang, the statement “I am” in Spanish, and the popular Yiddish expression, as a riff on Ruscha’s iconic word paintings. </p>
<p>OY/YO has been a significant and reoccurring motif in Kass’ work since its first appearance in 2011, taking form in paintings, prints, and tabletop sculptures. Set alongside the iconic bridges of Brooklyn’s waterfront and visible to viewers from Manhattan, Brooklyn Bridge Park’s Main Street lawn is an apt location for a monumental installation of OY/YO. Similar to the City of New York’s “Leaving Brooklyn: Oy Vey!” sign at the Williamsburg Bridge and the “Leaving Brooklyn: Fuhgeddaboudit” sign on the BQE, OY/YO references Brooklyn’s ethnic communities with whimsy and warmth. </p>
<p>Commissioned by Two Trees and presented in partnership with Brooklyn Bridge Park, the work will be on view through August 2016 and is presented on the occasion of the artist’s exhibition No Kidding opening at Paul Kasmin Gallery in Chelsea December 9, 2015. For more information about this artwork, please visit the <a href=""http://www.brooklynbridgepark.org/press/two-trees-management-company-presents-deborah-kass-oy-yo"">Brooklyn Bridge Park Conservancy’s website</a>. </p>","B","1","40.70417","-73.99042","1"
"34","Dialogue","Mazeredo","2015-11-30","2016-05-01","character(0)","<p><em>Babel</em>, <em>Butterfly</em>, <em>Dialogue</em>, and <em>Communication</em>, four sculptures by Brazilian artist Mazeredo are on view in Dag Hammarskjold Plaza. She translates the sounds she hears in Brazil into vibrant colors and shapes that make up her sculptures. One of her most ubiquitous shapes is the abstracted mouth form. For example, Babel depicts mouths arguing as they ascend the tower to discuss the harmony of human dialogue to solve differences.</p>
<p>This exhibition is presented by the Friends of Dag Hammarskjold. </p>","M","1","40.752245","-73.968749","1"
"35","The Space Between Us","Henry Kielmanowicz","2015-12-01","2016-05-31","character(0)","<p>Henry Kielmanowicz creates sculptures from manmade objects that enter the waste cycle, specifically glass bottles. The bottles are transformed in a labor-intensive process by breaking, crushing and separating the glass into multiple sizes creating a new raw material. Not only is Kielmanowicz reusing waste from society, he also incorporates waste produced in his own studio.</p>
<p><em>The Space Between Us</em>, a sculpture of a moon that has been created with repurposed bottles and resin, lights the park at night. </p>
<p>This exhibition is presented by First Street Green. </p>","M","1","40.724","-73.99161","1"
"36","Bomber","Mike Whiting","2015-12-12","2016-06-10","Finn Square","<p>Michael Whiting creates playful sculptures drawing from  the forms and imagery of early video gaming and computer graphics. Whiting  attempts to communicate as much visual information as possible with his  essential forms that combine the reductive simplicity of the minimalist  movement and the sensibility of pop art in re-contextualizing cultural icons.</p>
<p>The exhibition is presented by <a href=""http://www.causeycontemporary.com/"">Causey Contemporary</a>. </p>","M","1","40.718757","-74.006879","1"
"37","Lenape Variations","Ruth Hofheimer","2015-11-15","2016-11-15","character(0)","<p>Ruth Hofheimer’s design contains imagery of the Lenape tribe that once inhabited the Brooklyn area, as well as native plant life and abstract forms. These elements are rendered in a flat style to evoke Native American art and pattern which was typically flat and symbolic.</p>
<p>This project is presented by <a href=""http://artsgowanus.org/"">Arts Gowanus</a>  and the <a href=""http://theoldstonehouse.org/"">Old Stone House & Washington Park</a></p>","B","1","40.672914","-73.985093","1"
"38","Heart of Hearts","Collective-LOK","2016-02-09","2016-03-06","character(0)","<p>Over the last eight years, the Times Square Alliance has invited architecture and design firms to submit proposals for a romantic public art installation celebrating Valentine’s Day in Times Square.</p>
<p>CLOK’s <em>Heart of Hearts</em>, a faceted ring of twelve golden, mirrored hearts, will create an alternative pavilion that reflects and multiplies the pulsating activity of Times Square, creating a kaleidoscopic interior that dissolves the boundaries between viewing and performing. Within the ring, diamond-shaped spaces inside each heart will create six “kissing booths” where couples will find their activities mirrored, allowing both privacy and publicity in the Heart of Hearts. This room within the room of Times Square is the most site-specific Heart installation to date and will be the first time a Valentine Heart will reach 10 feet.</p>
<p>This exhibition is presented with <a href=""http://www.timessquarenyc.org/index.aspx"">Times Square Alliance</a> and <a href=""http://cfa.aiany.org/"">Center for Architecture</a>. </p>","M","1","40.75903","-73.98501","1"
"39","Looking Up","Tom Friedman","2016-01-28","2016-07-31","Park Avenue Malls at 53rd Street","<p>Looking Up, a 33.3-foot-tall stainless steel sculpture by the American artist Tom Friedman, is by far the most ambitious sculpture from Friedman’s ongoing body of work involving the use of crushed aluminum foil roasting-pans to create figures, which, through a process of molding and lost wax casting, retain the original material’s imprint and markings. A charming yet magnificent piece, the quasi-human figure gazes up to the heavens, inviting others to stand at its base and do the same. The first example of this edition is permanently installed at the Laguna Gloria Campus of The Contemporary Austin in Texas.</p>
<p>This exhibition is presented with <a href=""http://www.luhringaugustine.com/artists/tom-friedman/news"">Luhring Augustine</a>, New York; <a href=""http://www.stephenfriedman.com/home"">Stephen Friedman Gallery</a>, London; NYC Parks; and the <a href=""http://www.fundforparkavenue.org/fund-for-park-avenue-sculpture.htm"">Fund for Park Avenue</a>.</p>","M","1","40.759085","-73.97257","1"
"40","Sculpture Commemorating International Mother Language Day","Khurshid Saleem","2016-02-01","2016-02-19","character(0)","<p>In celebration of International Mother Language Day (February 21st), Muktadhara Foundation presents a sculpture that commemorates the importance of mother language and the determination of people to uphold their right to speak in their own mother tongue.</p>","M","1","40.752245","-73.968749","1"
